"port_code","harbor_size","overhead_limits","channel_depth","anchorage_depth","cargo_depth","cranes_fixed","cranes_mobile","cranes_floating","railway","lifts100","lifts50","lifts25","lifts0","max_lift","lat","long"
"FRSRL","V","U",NA,11,2,0,0,0,1,"U","U","U","U",0,43.4166666666667,6.76666666666667
"FRSTP","V","U",5,13,5,0,0,0,1,"U","U","U","U",0,43.2666666666667,6.63333333333333
"FRSVS","V","U",0,NA,3,1,1,0,0,"U","U","U","Y",12,50.1833333333333,1.61666666666667
"FRSET","S","Y",14,8,13,0,1,0,1,"U","U","Y","Y",12,43.4,3.7
"FRSNR","M","U",13,19,8,1,1,1,0,"Y","Y","Y","Y",12,47.2833333333333,-2.2
"FRTON","S","Y",5,NA,5,1,1,0,0,"U","U","U","Y",12,45.9333333333333,-0.9
"FRTLN","L","Y",9,20,9,1,0,0,1,"U","U","Y","U",37,43.1,5.91666666666667
"FRTRE","V","U",3,11,16,0,1,0,0,"U","U","Y","U",37,48.7833333333333,-3.23333333333333
"FRVSS","V","U",5,23,NA,1,0,0,1,"U","U","U","Y",12,43.7,7.31666666666667
"HRBAK","S","U",23,23,17,0,0,0,1,"U","Y","Y","Y",12,45.3,14.5333333333333
"HRDBV","S","U",23,23,3,1,1,0,1,"U","U","Y","Y",12,42.6666666666667,18.0833333333333
"HRDUR","V","U",23,8,NA,0,0,0,0,"U","U","U","Y",12,43.45,16.65
"HRKOR","V","U",23,6,23,1,0,0,0,"Y","U","U","U",100,42.9333333333333,17.1333333333333
"HROMI","S","N",23,23,NA,1,1,0,0,"U","U","Y","Y",12,45.2166666666667,14.55
"HRPLE","V","Y",9,23,3,0,1,1,1,"U","Y","Y","U",37,43.05,17.4333333333333
"HRPUY","V","U",8,11,3,0,1,1,1,"Y","U","U","Y",12,44.8833333333333,13.8
"HRRJK","L","U",17,23,6,1,1,1,1,"U","Y","Y","Y",12,45.3333333333333,14.4333333333333
"HRROV","S","U",5,14,5,0,1,0,1,"U","U","U","Y",12,45.0833333333333,13.6333333333333
"HRSEN","V","U",14,13,2,0,0,0,0,"U","U","U","U",0,44.9833333333333,14.9
"HRSIB","S","Y",22,14,5,1,1,0,1,"U","U","U","Y",12,43.7333333333333,15.8833333333333
"HRSPU","L","U",13,11,6,1,1,1,1,"Y","Y","U","Y",12,43.5,16.4333333333333
"HRUMG","V","U",6,11,5,0,0,0,0,"U","U","U","U",0,45.4333333333333,13.5166666666667
"HRZAD","S","N",8,16,6,0,1,0,1,"U","Y","Y","Y",12,44.1166666666667,15.2166666666667
"HRRAS","V","U",23,9,14,1,0,0,1,"U","U","U","Y",12,45.05,14.0666666666667
"ITAOI","S","U",11,11,8,1,1,1,1,"U","Y","Y","Y",12,43.6166666666667,13.4833333333333
"ITANZ","V","U",5,8,3,1,1,0,1,"U","Y","U","Y",12,41.4333333333333,12.6333333333333
"ITATX","V","N",5,6,8,1,1,0,0,"U","Y","Y","Y",12,39.9333333333333,9.7
"ITAUG","M","U",23,22,NA,0,0,1,1,"U","U","U","Y",12,37.2166666666667,15.2333333333333
"ITBLN","S","U",23,20,13,0,1,0,1,"U","U","Y","U",37,40.8,14.15
"ITBRI","M","U",11,9,11,0,1,1,1,"U","U","U","Y",12,41.1333333333333,16.8333333333333
"ITBDS","L","Y",14,23,11,0,1,1,1,"U","Y","Y","Y",12,40.65,17.9833333333333
"ITCAG","M","U",14,13,8,1,1,0,1,"U","U","Y","Y",12,39.1833333333333,9.1
"ITCLF","V","U",5,22,6,1,0,0,1,"Y","U","U","U",100,39.1333333333333,8.31666666666667
"ITCAS","V","U",9,17,13,1,1,0,1,"U","U","U","U",0,40.7,14.4666666666667
"ITCTA","M","U",11,23,9,1,1,0,1,"U","Y","Y","U",37,37.5,15.1
"ITCVV","L","U",13,16,9,1,1,1,0,"U","U","Y","Y",12,42.1,11.7666666666667
"ITCRV","S","U",5,14,8,0,0,0,1,"U","U","U","Y",12,39.0666666666667,17.1333333333333
"ITFCO","S","Y",3,23,3,0,1,0,1,"U","U","U","U",0,41.7666666666667,12.2
"ITGAE","S","U",23,14,9,0,1,0,1,"U","U","Y","Y",12,41.2166666666667,13.5666666666667
"ITGAL","M","U",11,13,13,0,1,0,1,"U","U","U","Y",12,40.05,17.9833333333333
"ITGEA","V","U",13,9,9,0,1,0,1,"U","U","U","Y",12,37.0666666666667,14.25
"ITGOA","L","Y",16,8,14,1,1,1,1,"Y","Y","Y","Y",12,44.3833333333333,8.91666666666667
"ITGPR","S","U",4,NA,NA,0,0,0,0,"U","U","U","U",0,42.35,10.9166666666667
"ITGIT","L","U",17,19,16,1,1,0,1,"U","Y","U","U",75,38.4333333333333,15.8833333333333
"ITIMP","S","U",8,11,8,0,1,0,1,"U","U","Y","Y",12,43.8833333333333,8.03333333333333
"ITLMP","S","U",NA,15,NA,0,0,0,0,"U","U","U","U",0,35.4833333333333,12.6
"ITSPE","L","U",14,16,14,1,1,0,1,"Y","Y","Y","Y",12,44.1,9.83333333333333
"ITLIC","S","U",8,20,5,1,1,0,1,"U","U","Y","Y",12,37.0833333333333,13.9333333333333
"ITLIP","V","U",23,23,5,0,0,0,0,"U","U","U","U",0,38.4833333333333,14.9666666666667
"ITLIV","L","N",13,8,5,1,1,1,1,"Y","Y","U","U",75,43.5333333333333,10.2833333333333
"ITMDA","S","U",3,6,5,1,0,0,1,"U","U","U","Y",12,41.2,9.4
"ITMFR","S","N",6,6,9,1,1,0,1,"U","U","U","Y",12,41.6166666666667,15.9166666666667
"ITMDC","V","N",13,6,9,0,1,0,1,"U","Y","Y","Y",12,44.0166666666667,10.0333333333333
"ITMRA","S","Y",5,11,5,0,1,0,1,"U","U","U","U",0,37.7833333333333,12.4333333333333
"ITMAZ","S","Y",3,9,5,0,0,0,1,"U","U","U","U",0,37.6333333333333,12.5833333333333
"ITMSN","L","N",23,11,8,1,1,1,1,"U","U","U","Y",12,38.2,15.5666666666667
"ITMLZ","M","U",9,23,9,1,1,0,1,"U","U","Y","Y",12,38.2166666666667,15.25
"ITMOL","S","Y",8,NA,6,0,0,0,1,"U","Y","Y","U",37,41.2166666666667,16.6
"ITMNF","M","N",9,11,9,0,1,0,1,"U","U","Y","Y",12,45.7833333333333,13.55
"ITMNP","S","U",8,23,6,0,1,0,1,"U","Y","Y","U",37,40.95,17.3
"ITUGG","V","U",16,13,13,0,0,0,0,"U","U","U","U",0,45.6,13.7666666666667
"ITNAP","L","Y",14,20,9,1,1,1,1,"Y","Y","Y","Y",12,40.8166666666667,14.2666666666667
"ITPNG","S","U",7,11,NA,0,0,0,0,"U","U","U","U",0,45.75,13.1666666666667
"ITOLB","S","U",6,22,9,1,1,1,1,"U","U","Y","Y",12,40.9166666666667,9.51666666666667
"ITOTN","S","U",6,NA,5,1,1,0,1,"Y","Y","Y","Y",12,42.35,14.4166666666667
"ITOTO","V","Y",5,6,5,0,0,0,0,"U","U","Y","U",37,40.15,18.4833333333333
"ITPES","S","U",NA,NA,NA,0,0,0,0,"U","U","U","U",0,43.9166666666667,12.9
"ITPSR","S","Y",3,13,5,0,0,0,0,"U","U","Y","U",37,42.45,14.2333333333333
"ITBLT","V","U",8,6,6,0,1,0,0,"U","U","U","U",0,41.3333333333333,16.2833333333333
"ITCHI","V","U",8,5,6,0,1,1,0,"Y","Y","Y","Y",12,45.2333333333333,12.3
"ITPCS","M","Y",5,5,9,0,1,1,1,"Y","U","Y","Y",12,44.4833333333333,12.2833333333333
"ITVCE","L","U",11,13,8,1,1,1,0,"Y","Y","Y","Y",12,45.4166666666667,12.4333333333333
"ITQOS","S","U",13,13,11,0,1,0,0,"U","U","U","Y",12,39.8666666666667,8.55
"ITPMO","S","N",23,17,14,1,1,0,1,"U","U","Y","U",37,38.1166666666667,13.3666666666667
"ITPEM","V","N",11,9,5,0,1,0,0,"U","U","Y","U",37,37.2666666666667,13.5166666666667
"ITPFE","S","U",9,13,6,0,0,0,1,"U","U","U","U",0,42.8166666666667,10.3333333333333
"ITPPF","V","U",6,9,8,1,0,0,0,"Y","U","U","U",100,39.05,8.46666666666667
"ITPSS","V","U",11,23,6,0,1,0,1,"U","U","U","Y",12,42.4333333333333,11.1166666666667
"ITPTO","S","N",11,20,13,1,1,0,1,"U","U","U","Y",12,40.85,8.38333333333333
"ITPIO","V","Y",11,6,11,1,1,1,1,"U","Y","Y","U",37,42.9166666666667,10.55
"ITPVE","V","U",14,14,11,1,0,0,0,"U","U","U","Y",12,39.1833333333333,8.38333333333333
"ITPZL","V","U",NA,9,9,0,1,0,1,"Y","Y","Y","U",37,36.7166666666667,14.85
"ITPOZ","V","U",13,11,5,0,1,0,1,"U","Y","U","Y",12,40.8166666666667,14.1
"ITVDL","M","U",9,16,14,1,0,0,1,"U","U","Y","Y",12,44.25,8.45
"ITREG","S","U",9,23,8,1,0,1,1,"U","U","Y","U",37,38.1166666666667,15.65
"ITSAL","S","U",11,17,11,1,1,0,1,"Y","Y","Y","Y",12,40.6666666666667,14.75
"ITSRE","V","U",9,11,5,0,0,0,1,"U","U","U","U",0,43.8166666666667,7.78333333333333
"ITSPA","V","U",NA,45,NA,0,0,0,0,"U","U","U","U",0,37.0666666666667,15.2833333333333
"ITPFX","M","U",22,11,NA,0,0,0,0,"U","U","U","U",0,39.0833333333333,9.03333333333333
"ITSVN","S","Y",9,16,8,1,1,0,1,"Y","Y","Y","Y",12,44.3166666666667,8.5
"ITSCK","S","U",5,NA,NA,0,0,0,0,"U","U","U","U",0,37.5,13.0666666666667
"ITSIR","L","U",23,8,5,1,0,0,1,"U","U","U","Y",12,37.05,15.2833333333333
"ITTAR","L","Y",14,11,16,1,1,1,1,"Y","Y","Y","U",37,40.4666666666667,17.2
"ITTRI","V","U",6,14,8,1,0,0,1,"U","U","U","Y",12,37.9833333333333,13.7166666666667
"ITTOA","S","U",5,23,9,1,0,0,1,"U","U","U","Y",12,40.75,14.45
"ITTDG","V","U",8,3,23,0,0,0,1,"U","U","U","U",0,40.7833333333333,14.3666666666667
"ITTPS","V","U",8,11,9,0,1,0,1,"Y","Y","Y","Y",12,38,12.5
"ITTRS","L","N",17,19,17,0,1,0,1,"U","U","Y","Y",12,45.65,13.7333333333333
"ITVDA","V","U",3,16,11,1,1,0,0,"U","U","U","Y",12,43.35,10.45
"ITVSO","V","N",5,23,5,0,1,0,0,"U","U","Y","Y",12,42.1166666666667,14.7166666666667
"ITVVA","V","U",9,NA,6,0,1,0,1,"U","U","Y","U",37,38.7166666666667,16.1166666666667
"CYDHK","V","U",9,23,6,0,0,0,0,"U","U","U","U",0,34.9666666666667,33.7166666666667
"CYFMG","S","U",9,17,9,1,1,1,1,"U","Y","Y","Y",12,35.1166666666667,33.9333333333333
"CYKYR","V","U",8,23,8,0,0,0,0,"N","N","N","Y",12,35.35,33.3333333333333
"CYLCA","S","N",13,19,11,1,1,0,0,"U","U","Y","U",37,34.9166666666667,33.65
"CYLMS","S","U",14,23,14,1,1,1,0,"U","U","Y","U",37,34.6666666666667,33.05
"CYKAR","V","U",23,22,2,1,0,0,0,"U","U","U","Y",12,35.1333333333333,32.8333333333333
"NLAMS","L","Y",13,14,9,1,1,1,1,"Y","Y","Y","Y",12,52.3666666666667,4.9
"NLDZL","S","Y",6,8,6,1,1,0,1,"U","U","U","Y",12,53.3333333333333,6.93333333333333
"NLDHR","S","Y",8,16,5,1,1,1,1,"Y","Y","Y","Y",12,52.9666666666667,4.78333333333333
"NLDOR","M","Y",9,11,8,0,1,1,1,"U","Y","Y","Y",12,51.8166666666667,4.65
"NLEEM","S","U",8,9,11,0,1,1,1,"U","Y","U","Y",12,53.45,6.83333333333333
"NLEUR","M","U",20,11,11,0,1,1,1,"U","U","Y","Y",12,51.95,4.11666666666667
"NLHAN","V","Y",5,11,NA,0,0,0,1,"U","U","U","U",0,51.45,4
"NLHAR","V","Y",3,3,3,1,1,1,1,"U","U","U","Y",12,53.1833333333333,5.41666666666667
"NLHVH","V","U",17,14,6,1,1,0,1,"U","U","U","Y",12,51.95,4.13333333333333
"NLIJM","S","Y",14,14,9,1,1,1,1,"U","Y","Y","Y",12,52.4666666666667,4.58333333333333
"NLMSL","V","Y",13,11,5,0,0,0,1,"U","U","U","U",0,51.9166666666667,4.25
"NLRTM","L","Y",11,11,6,1,1,1,1,"Y","Y","Y","Y",12,51.9,4.48333333333333
"NLSCE","V","U",NA,9,6,0,0,0,0,"U","U","U","U",0,52.1,4.26666666666667
"NLSCI","V","U",9,11,6,0,0,1,1,"U","U","U","U",0,51.9,4.4
"NLTNZ","M","Y",9,14,5,1,1,0,1,"U","U","Y","Y",12,51.35,3.81666666666667
"NLVLA","V","U",11,11,11,0,1,1,1,"U","U","U","Y",12,51.9,4.35
"NLVLI","M","U",13,9,8,1,1,0,1,"Y","Y","Y","Y",12,51.45,3.6
"NLZAA","S","Y",8,14,8,0,1,0,0,"U","U","U","Y",12,52.4333333333333,4.83333333333333
"PLDAR","V","Y",6,16,5,0,1,0,1,"U","U","U","Y",12,54.4333333333333,16.4166666666667
"PLGDN","L","Y",6,9,6,1,1,1,1,"U","Y","Y","U",37,54.35,18.6666666666667
"PLGDY","L","U",14,9,6,1,1,1,1,"U","Y","Y","Y",12,54.5333333333333,18.55
"PLKOL","V","Y",5,11,5,0,1,0,1,"U","U","U","Y",12,54.2166666666667,15.55
"PLNWA","S","Y",11,9,5,0,1,1,1,"U","Y","Y","U",37,54.4166666666667,18.6666666666667
"PLPLC","S","Y",9,8,8,1,0,0,0,"U","U","U","Y",12,53.5666666666667,14.5666666666667
"PLSWI","S","Y",14,6,6,1,1,1,1,"U","Y","U","Y",12,53.9166666666667,14.2666666666667
"PLSZZ","M","Y",8,6,2,1,1,1,1,"Y","Y","Y","Y",12,53.4166666666667,14.55
"PLUST","S","Y",5,13,5,0,1,0,1,"U","U","U","Y",12,54.5833333333333,16.85
"PTADH","V","U",13,23,6,1,0,0,0,"U","U","U","Y",12,38.65,-27.2166666666667
"PTAVE","M","U",6,11,9,0,1,0,1,"U","Y","U","Y",12,40.65,-8.65
"PTFAO","V","U",5,23,8,0,0,0,0,"U","U","U","U",0,37.0333333333333,-7.93333333333333
"PTFDF","V","U",6,14,5,0,1,0,1,"U","Y","Y","Y",12,40.15,-8.85
"PTFNC","L","U",13,13,11,0,1,0,0,"U","U","Y","Y",12,32.6333333333333,-16.9166666666667
"PTHOR","S","U",13,23,6,1,1,0,0,"U","Y","U","U",75,38.5333333333333,-28.6333333333333
"PTLOS","L","U",NA,NA,NA,0,0,0,0,"U","U","U","U",0,37.1,-8.61666666666667
"PTLDP","V","U",2,23,NA,0,0,0,0,"U","U","U","U",0,38.4,-28.2666666666667
"PTLIS","L","Y",14,16,17,1,1,0,0,"U","Y","Y","U",37,38.7,-9.16666666666667
"PTDOU","V","Y",3,16,5,1,1,0,1,"U","U","U","Y",12,41.15,-8.66666666666667
"PTPDL","S","U",8,13,11,0,1,0,1,"U","U","Y","Y",12,37.7333333333333,-25.6666666666667
"PTLEI","V","Y",14,20,11,1,1,0,1,"U","Y","Y","Y",12,41.1833333333333,-8.7
"PTPRV","V","U",17,23,13,1,0,0,0,"U","U","Y","Y",12,38.7166666666667,-27.05
"PTSET","S","U",11,6,14,1,1,0,1,"U","U","Y","Y",12,38.5166666666667,-8.9
"PTSIE","M","U",NA,23,14,1,1,0,1,"U","Y","Y","U",37,37.95,-8.86666666666667
"PTVDC","S","Y",8,20,22,1,1,0,0,"U","Y","Y","Y",12,41.7,-8.83333333333333
"PTVDP","V","U",13,23,5,0,0,0,0,"U","U","U","U",0,36.9333333333333,-25.15
"PTVNC","V","U",3,9,5,1,1,0,0,"U","U","U","Y",12,37.1833333333333,-7.4
"ROBAB","V","U",6,NA,6,1,1,0,1,"U","U","U","Y",12,44.1666666666667,28.4333333333333
"ROCEV","V","Y",6,NA,2,1,1,0,0,"U","U","U","Y",12,44.3333333333333,28.05
"ROCND","M","Y",20,23,6,1,1,1,1,"U","Y","Y","Y",12,44.1666666666667,28.65
"ROMAG","V","U",6,23,6,1,1,0,1,"Y","Y","U","Y",12,43.8166666666667,28.5833333333333
"ROMED","V","Y",5,NA,6,1,1,0,1,"U","U","U","Y",12,44.25,28.2666666666667
"ROMID","V","U",5,20,8,1,0,0,1,"U","U","U","Y",12,44.35,28.6666666666667
"ROSUL","V","U",9,11,5,1,0,1,0,"U","U","Y","Y",12,45.1666666666667,29.6666666666667
"FITAI","S","Y",5,5,3,1,1,0,0,"U","Y","Y","U",37,59.9833333333333,23.4333333333333
"FIHLL","V","U",5,5,NA,0,0,0,0,"U","U","U","U",0,63.2833333333333,22.2333333333333
"FIHIM","S","U",6,3,2,0,0,0,0,"U","U","U","U",0,64,23.65
"FIJUS","V","U",5,23,NA,0,0,0,0,"U","U","U","U",0,59.8333333333333,23.5666666666667
"FIKAN","V","U",2,11,NA,0,0,0,0,"U","U","U","U",0,63.4166666666667,22.2833333333333
"FIUKP","V","U",8,NA,5,0,0,0,1,"U","U","U","U",0,63.5166666666667,22.5333333333333
"FIPAR","V","Y",6,6,3,0,0,0,0,"U","U","U","U",0,60.2833333333333,22.0666666666667
"FIPOR","L","Y",6,20,8,1,1,0,1,"Y","Y","Y","Y",12,61.4833333333333,21.8
"FIPRV","V","Y",14,23,6,0,0,0,1,"U","U","U","U",0,60.3,25.6333333333333
"FITHK","V","N",9,6,9,1,1,0,1,"U","U","Y","U",37,61.6333333333333,21.4
"FITOK","V","U",6,11,6,0,1,0,1,"U","Y","Y","Y",12,60.0333333333333,25.5833333333333
"FITKU","M","Y",9,17,6,1,1,0,1,"U","Y","Y","Y",12,60.45,22.2333333333333
"FIVEI","S","Y",6,16,6,1,1,0,1,"U","Y","Y","Y",12,65.7,24.6166666666667
"SEBEA","V","Y",5,6,3,0,1,0,0,"U","U","U","U",0,56.3833333333333,16.1
"SEBOL","V","U",6,9,5,0,0,0,0,"U","U","U","U",0,63,17.7
"SEBLD","V","U",8,9,3,1,0,0,1,"U","U","U","Y",12,58.4833333333333,11.3333333333333
"SEBNF","V","U",6,5,3,0,0,0,0,"U","U","U","U",0,65.0166666666667,21.3833333333333
"SEDOM","V","Y",20,20,3,0,0,0,0,"U","U","U","U",0,63.2666666666667,18.7333333333333
"SEFSD","S","N",5,5,8,0,0,0,1,"U","U","U","U",0,57.9166666666667,19.05
"SEFIG","V","N",3,8,3,0,0,0,0,"U","U","U","U",0,57.3666666666667,16.5
"SEGUB","V","Y",3,11,3,0,0,0,0,"U","U","U","U",0,59.3166666666667,18.3833333333333
"SEGUS","V","Y",9,11,3,1,1,0,1,"U","U","U","Y",12,62.8333333333333,17.8833333333333
"SEHUS","V","U",9,6,6,1,1,0,0,"U","Y","U","Y",12,63.3333333333333,19.15
"SEKLR","V","Y",6,6,5,1,1,1,1,"U","Y","Y","Y",12,56.6666666666667,16.3666666666667
"SEKAA","V","Y",6,6,2,1,1,1,0,"Y","U","U","Y",12,56.1666666666667,15.6
"SEKLI","V","N",5,11,5,0,1,0,0,"U","U","U","Y",12,57.3833333333333,18.2
"SEKRF","V","Y",6,20,6,0,0,1,1,"U","U","U","Y",12,62.9333333333333,17.8
"SENOG","V","U",3,3,5,0,0,0,0,"U","U","U","U",0,63.5666666666667,19.4833333333333
"SENRK","M","Y",8,19,5,1,1,0,1,"Y","U","Y","Y",12,58.5833333333333,16.2
"SENYO","S","Y",9,5,5,0,1,0,1,"U","Y","U","Y",12,58.75,17.0166666666667
"SENYN","S","U",14,8,NA,1,0,0,0,"U","U","Y","U",37,58.9,17.9666666666667
"SEOBB","V","Y",9,9,6,1,0,0,0,"U","U","U","Y",12,63.7,20.3333333333333
"SEOXE","S","Y",5,14,11,1,1,0,1,"U","U","Y","Y",12,58.6666666666667,17.1166666666667
"SERNH","S","Y",22,5,6,0,0,0,0,"U","U","U","U",0,57.1166666666667,18.5
"SESAE","S","Y",6,14,6,1,0,0,0,"U","U","U","Y",12,61.2666666666667,17.1833333333333
"SESAK","V","U",3,5,5,0,0,0,0,"U","U","U","U",0,65.7333333333333,23.7666666666667
"SESLI","S","Y",3,5,6,1,1,0,0,"U","U","U","Y",12,57.7,18.8166666666667
"SESOE","S","Y",8,8,8,1,0,0,1,"U","U","Y","Y",12,59.1833333333333,17.65
"SESOR","V","Y",9,23,5,1,0,0,1,"U","U","U","Y",12,62.5,17.5
"SESTA","V","U",5,6,5,1,0,0,1,"U","U","U","Y",12,61.9,17.35
"SESTO","L","Y",9,16,6,1,1,1,1,"Y","Y","Y","Y",12,59.3333333333333,18.05
"SESTK","V","U",23,19,6,1,0,0,0,"U","U","U","Y",12,62.3333333333333,17.3833333333333
"SEJAT","V","N",6,9,NA,0,0,0,0,"U","U","U","U",0,57.1,16.5666666666667
"SESUS","V","U",9,9,6,1,0,0,0,"U","U","U","Y",12,57.8333333333333,18.8
"SETOE","V","U",8,8,6,0,0,0,0,"U","U","U","U",0,65.9,22.65
"SEUTA","V","U",8,16,8,1,0,0,0,"U","U","U","Y",12,62.7666666666667,17.9333333333333
"SEVAJ","V","U",3,20,8,0,0,0,0,"U","U","U","U",0,62.9833333333333,17.7166666666667
"SEVST","M","Y",5,6,3,1,1,0,1,"Y","Y","Y","Y",12,59.6166666666667,16.55
"SEVVK","S","Y",3,9,5,1,1,0,1,"U","Y","Y","Y",12,57.7666666666667,16.65
"SEVER","V","Y",6,23,2,1,0,0,0,"U","U","U","Y",12,57.7333333333333,16.5333333333333
"SEVBY","S","N",5,23,6,0,1,0,1,"U","Y","Y","Y",12,57.6333333333333,18.2833333333333
"SEVIV","V","U",6,6,6,1,0,0,1,"U","U","U","Y",12,62.4833333333333,17.35
"GBABD","M","Y",5,9,9,1,1,0,0,"Y","Y","Y","Y",12,57.15,-2.08333333333333
"GBAGL","V","N",5,11,2,0,0,0,0,"U","U","U","U",0,54.2666666666667,-5.61666666666667
"GBASG","V","Y",6,6,2,0,0,0,0,"U","U","U","U",0,56.0166666666667,-5.45
"GBARD","S","U",5,22,5,1,0,0,1,"U","U","Y","Y",12,55.65,-4.81666666666667
"GBAUL","V","U",9,13,3,0,0,0,0,"U","U","U","U",0,57.8333333333333,-5.58333333333333
"GBAVO","S","Y",6,9,8,0,1,0,1,"U","U","U","Y",12,51.5,-2.71666666666667
"GBAYR","V","Y",3,6,5,1,1,0,1,"Y","U","U","Y",12,55.4666666666667,-4.63333333333333
"GBBAN","V","N",5,8,2,0,1,0,1,"U","U","U","Y",12,54.65,-5.66666666666667
"GBBIF","M","Y",9,9,6,1,1,1,1,"Y","Y","Y","Y",12,54.1166666666667,-3.23333333333333
"GBBAD","M","Y",2,9,8,1,1,1,0,"U","Y","Y","Y",12,51.4,-3.26666666666667
"GBBEL","L","U",9,9,11,1,1,1,1,"U","U","Y","Y",12,54.6166666666667,-5.9
"GBBWK","V","Y",2,13,5,0,1,0,1,"U","U","U","Y",12,55.7666666666667,-2
"GBBID","S","Y",2,13,5,0,1,0,0,"U","U","U","Y",12,51.0333333333333,-4.2
"GBBLY","M","U",8,17,6,1,1,0,0,"U","Y","U","Y",12,55.1166666666667,-1.5
"GBBOS","S","Y",5,8,5,1,1,0,1,"U","Y","Y","Y",12,52.9666666666667,-0.0166666666666667
"GBBOW","V","U",6,NA,NA,1,1,0,1,"Y","U","U","Y",12,55.9333333333333,-4.48333333333333
"GBBFB","S","U",9,NA,NA,0,0,0,1,"U","U","U","U",0,56.0333333333333,-3.31666666666667
"GBBRW","V","Y",2,6,9,0,1,0,0,"U","U","U","Y",12,51.1333333333333,-3
"GBBRT","V","U",2,9,3,1,1,0,1,"U","U","U","Y",12,54.0833333333333,-0.183333333333333
"GBBRP","V","U",0,11,2,0,1,0,1,"U","U","U","Y",12,50.7166666666667,-2.76666666666667
"GBBRS","M","Y",6,6,14,1,1,0,1,"U","Y","Y","Y",12,51.4666666666667,-2.63333333333333
"GBBRX","V","U",3,23,2,0,1,0,1,"U","U","U","Y",12,50.4,-3.51666666666667
"GBBDF","V","U",13,9,3,0,0,0,0,"U","U","U","U",0,57.25,-5.88333333333333
"GBBUC","V","U",2,8,5,1,0,0,0,"U","U","U","Y",12,57.6833333333333,-2.96666666666667
"GBBUH","V","U",3,11,3,0,1,0,1,"U","Y","Y","Y",12,57.7,-3.5
"GBBTL","S","Y",9,13,8,1,1,0,1,"U","U","U","Y",12,56.05,-3.23333333333333
"GBCNV","S","Y",0,5,3,1,0,0,1,"U","U","U","Y",12,53.15,-4.26666666666667
"GBCBT","S","N",5,9,5,0,0,0,0,"U","U","U","U",0,55.4333333333333,-5.6
"GBCDF","M","Y",0,9,11,1,1,1,1,"U","U","Y","Y",12,51.45,-3.16666666666667
"GBCBA","V","U",6,8,3,0,0,0,0,"U","U","U","U",0,56.95,-7.48333333333333
"GBCHF","V","U",NA,9,5,0,1,0,0,"U","U","Y","Y",12,50.3333333333333,-4.75
"GBCTM","S","Y",2,14,8,1,1,0,1,"U","U","Y","Y",12,51.4,0.55
"GBCOL","V","U",2,5,NA,1,0,0,1,"U","Y","Y","Y",12,51.8833333333333,0.916666666666667
"GBCLR","S","Y",3,11,3,1,1,0,0,"U","U","U","Y",12,55.1333333333333,-6.66666666666667
"GBCOR","S","Y",5,17,11,0,0,0,1,"U","U","U","U",0,56.85,-5.11666666666667
"GBCOW","S","Y",5,17,5,0,1,0,1,"U","Y","Y","Y",12,50.7666666666667,-1.3
